ID,target,prediction
DBAASP_1001_AMP=1,1,0
DBAASP_10043_AMP=1,1,0
DBAASP_10053_AMP=1,1,1
DBAASP_10064_AMP=1,1,1
DBAASP_1007_AMP=1,1,1
DBAASP_10075_AMP=1,1,1
DBAASP_10103_AMP=1,1,1
DBAASP_10104_AMP=1,1,1
DBAASP_10117_AMP=1,1,1
DBAASP_10122_AMP=1,1,1
DBAASP_10128_AMP=1,1,1
DBAASP_1015_AMP=1,1,1
DBAASP_10153_AMP=1,1,1
DBAASP_10154_AMP=1,1,1
DBAASP_10156_AMP=1,1,1
DBAASP_10168_AMP=1,1,1
DBAASP_102_AMP=1,1,1
DBAASP_10202_AMP=1,1,1
DBAASP_1021_AMP=1,1,1
DBAASP_10218_AMP=1,1,1
DBAASP_10223_AMP=1,1,1
DBAASP_10226_AMP=1,1,1
DBAASP_10245_AMP=1,1,0
DBAASP_1025_AMP=1,1,1
DBAASP_10258_AMP=1,1,0
DBAASP_1026_AMP=1,1,1
DBAASP_10281_AMP=1,1,1
DBAASP_10283_AMP=1,1,1
DBAASP_10284_AMP=1,1,1
DBAASP_10288_AMP=1,1,1
DBAASP_1029_AMP=1,1,1
DBAASP_10290_AMP=1,1,1
DBAASP_10294_AMP=1,1,1
DBAASP_10350_AMP=1,1,1
DBAASP_10355_AMP=1,1,1
DBAASP_10356_AMP=1,1,1
DBAASP_10389_AMP=1,1,1
DBAASP_10393_AMP=1,1,1
DBAASP_10395_AMP=1,1,1
DBAASP_10402_AMP=1,1,1
DBAASP_10436_AMP=1,1,1
DBAASP_10442_AMP=1,1,1
DBAASP_10457_AMP=1,1,1
DBAASP_10458_AMP=1,1,1
DBAASP_10459_AMP=1,1,1
DBAASP_10466_AMP=1,1,1
DBAASP_10469_AMP=1,1,1
DBAASP_10470_AMP=1,1,1
DBAASP_10474_AMP=1,1,1
DBAASP_10476_AMP=1,1,1
DBAASP_10483_AMP=1,1,0
DBAASP_10485_AMP=1,1,1
DBAASP_10519_AMP=1,1,1
DBAASP_10528_AMP=1,1,1
DBAASP_10529_AMP=1,1,1
DBAASP_10538_AMP=1,1,1
DBAASP_10601_AMP=1,1,1
DBAASP_10604_AMP=1,1,1
DBAASP_10605_AMP=1,1,1
DBAASP_10644_AMP=1,1,1
DBAASP_10651_AMP=1,1,1
DBAASP_10652_AMP=1,1,1
DBAASP_10653_AMP=1,1,1
DBAASP_10671_AMP=1,1,1
DBAASP_10700_AMP=1,1,1
DBAASP_10706_AMP=1,1,1
DBAASP_10718_AMP=1,1,0
DBAASP_10734_AMP=1,1,0
DBAASP_10743_AMP=1,1,1
DBAASP_10755_AMP=1,1,1
DBAASP_10759_AMP=1,1,1
DBAASP_10815_AMP=1,1,0
DBAASP_10816_AMP=1,1,0
DBAASP_10817_AMP=1,1,0
DBAASP_10833_AMP=1,1,1
DBAASP_1084_AMP=1,1,1
DBAASP_10860_AMP=1,1,1
DBAASP_1088_AMP=1,1,1
DBAASP_10885_AMP=1,1,1
DBAASP_10890_AMP=1,1,0
DBAASP_10897_AMP=1,1,1
DBAASP_10899_AMP=1,1,1
DBAASP_10907_AMP=1,1,1
DBAASP_10912_AMP=1,1,1
DBAASP_10914_AMP=1,1,1
DBAASP_10917_AMP=1,1,1
DBAASP_10921_AMP=1,1,1
DBAASP_10925_AMP=1,1,1
DBAASP_10933_AMP=1,1,1
DBAASP_10951_AMP=1,1,0
DBAASP_10976_AMP=1,1,1
DBAASP_11077_AMP=1,1,1
DBAASP_11085_AMP=1,1,1
DBAASP_11160_AMP=1,1,1
DBAASP_11164_AMP=1,1,1
DBAASP_11172_AMP=1,1,1
DBAASP_11208_AMP=1,1,1
DBAASP_11220_AMP=1,1,1
DBAASP_11228_AMP=1,1,1
DBAASP_11230_AMP=1,1,1
DBAASP_11238_AMP=1,1,1
DBAASP_11251_AMP=1,1,0
DBAASP_11252_AMP=1,1,1
DBAASP_11259_AMP=1,1,1
DBAASP_11260_AMP=1,1,1
DBAASP_1127_AMP=1,1,1
DBAASP_11270_AMP=1,1,1
DBAASP_11271_AMP=1,1,1
DBAASP_11290_AMP=1,1,0
DBAASP_113_AMP=1,1,1
DBAASP_11303_AMP=1,1,1
DBAASP_11308_AMP=1,1,1
DBAASP_11313_AMP=1,1,1
DBAASP_11350_AMP=1,1,0
DBAASP_11356_AMP=1,1,1
DBAASP_11361_AMP=1,1,0
DBAASP_11367_AMP=1,1,1
DBAASP_11399_AMP=1,1,1
DBAASP_1140_AMP=1,1,0
DBAASP_11402_AMP=1,1,1
DBAASP_11403_AMP=1,1,1
DBAASP_11407_AMP=1,1,1
DBAASP_11409_AMP=1,1,1
DBAASP_11410_AMP=1,1,1
DBAASP_11411_AMP=1,1,1
DBAASP_11412_AMP=1,1,1
DBAASP_11418_AMP=1,1,1
DBAASP_11425_AMP=1,1,1
DBAASP_11427_AMP=1,1,1
DBAASP_11429_AMP=1,1,1
DBAASP_11430_AMP=1,1,1
DBAASP_11447_AMP=1,1,1
DBAASP_11465_AMP=1,1,1
DBAASP_11480_AMP=1,1,1
DBAASP_11494_AMP=1,1,1
DBAASP_11503_AMP=1,1,0
DBAASP_11524_AMP=1,1,1
DBAASP_11551_AMP=1,1,1
DBAASP_117_AMP=1,1,1
DBAASP_11732_AMP=1,1,1
DBAASP_11736_AMP=1,1,1
DBAASP_11739_AMP=1,1,1
DBAASP_11741_AMP=1,1,1
DBAASP_11746_AMP=1,1,1
DBAASP_11749_AMP=1,1,1
DBAASP_11758_AMP=1,1,1
DBAASP_11759_AMP=1,1,1
DBAASP_11760_AMP=1,1,1
DBAASP_11804_AMP=1,1,1
DBAASP_11819_AMP=1,1,1
DBAASP_11853_AMP=1,1,1
DBAASP_11888_AMP=1,1,0
DBAASP_11892_AMP=1,1,1
DBAASP_119_AMP=1,1,1
DBAASP_11939_AMP=1,1,1
DBAASP_1194_AMP=1,1,1
DBAASP_1195_AMP=1,1,1
DBAASP_11952_AMP=1,1,1
DBAASP_1197_AMP=1,1,1
DBAASP_11996_AMP=1,1,1
DBAASP_120_AMP=1,1,1
DBAASP_12004_AMP=1,1,1
DBAASP_12009_AMP=1,1,1
DBAASP_1201_AMP=1,1,1
DBAASP_12013_AMP=1,1,1
DBAASP_12020_AMP=1,1,1
DBAASP_12029_AMP=1,1,1
DBAASP_12038_AMP=1,1,1
DBAASP_12073_AMP=1,1,1
DBAASP_12116_AMP=1,1,1
DBAASP_12138_AMP=1,1,1
DBAASP_1215_AMP=1,1,0
DBAASP_12160_AMP=1,1,1
DBAASP_12184_AMP=1,1,1
DBAASP_12193_AMP=1,1,1
DBAASP_12194_AMP=1,1,0
DBAASP_12228_AMP=1,1,1
DBAASP_12236_AMP=1,1,1
DBAASP_12240_AMP=1,1,1
DBAASP_12245_AMP=1,1,1
DBAASP_123_AMP=1,1,1
DBAASP_12309_AMP=1,1,1
DBAASP_12313_AMP=1,1,1
DBAASP_12314_AMP=1,1,1
DBAASP_1233_AMP=1,1,1
DBAASP_1234_AMP=1,1,0
DBAASP_12360_AMP=1,1,1
DBAASP_12369_AMP=1,1,1
DBAASP_12383_AMP=1,1,1
DBAASP_12385_AMP=1,1,1
DBAASP_12407_AMP=1,1,0
DBAASP_12428_AMP=1,1,1
DBAASP_12436_AMP=1,1,0
DBAASP_12450_AMP=1,1,0
DBAASP_12505_AMP=1,1,1
DBAASP_12507_AMP=1,1,1
DBAASP_1251_AMP=1,1,1
DBAASP_12524_AMP=1,1,1
DBAASP_12528_AMP=1,1,1
DBAASP_1253_AMP=1,1,1
DBAASP_12537_AMP=1,1,1
DBAASP_12543_AMP=1,1,1
DBAASP_12570_AMP=1,1,0
DBAASP_12586_AMP=1,1,0
DBAASP_12591_AMP=1,1,1
DBAASP_12602_AMP=1,1,1
DBAASP_12612_AMP=1,1,1
DBAASP_12620_AMP=1,1,1
DBAASP_12623_AMP=1,1,1
DBAASP_12624_AMP=1,1,1
DBAASP_12625_AMP=1,1,1
DBAASP_12627_AMP=1,1,1
DBAASP_12629_AMP=1,1,0
DBAASP_12631_AMP=1,1,1
DBAASP_12632_AMP=1,1,1
DBAASP_12634_AMP=1,1,1
DBAASP_1267_AMP=1,1,1
DBAASP_12688_AMP=1,1,1
DBAASP_12690_AMP=1,1,1
DBAASP_12691_AMP=1,1,1
DBAASP_12693_AMP=1,1,1
DBAASP_12711_AMP=1,1,1
DBAASP_12760_AMP=1,1,1
DBAASP_12764_AMP=1,1,1
DBAASP_12778_AMP=1,1,0
DBAASP_1279_AMP=1,1,1
DBAASP_12812_AMP=1,1,1
DBAASP_12819_AMP=1,1,1
DBAASP_12826_AMP=1,1,1
DBAASP_12828_AMP=1,1,1
DBAASP_12836_AMP=1,1,1
DBAASP_12839_AMP=1,1,1
DBAASP_12841_AMP=1,1,1
DBAASP_12853_AMP=1,1,1
DBAASP_12860_AMP=1,1,1
DBAASP_12863_AMP=1,1,1
DBAASP_12866_AMP=1,1,0
DBAASP_12870_AMP=1,1,1
DBAASP_12886_AMP=1,1,0
DBAASP_1289_AMP=1,1,1
DBAASP_12905_AMP=1,1,1
DBAASP_12907_AMP=1,1,1
DBAASP_12908_AMP=1,1,1
DBAASP_12912_AMP=1,1,1
DBAASP_12919_AMP=1,1,1
DBAASP_12926_AMP=1,1,1
DBAASP_12932_AMP=1,1,0
DBAASP_12935_AMP=1,1,1
DBAASP_12937_AMP=1,1,0
DBAASP_12940_AMP=1,1,0
DBAASP_12947_AMP=1,1,1
DBAASP_12948_AMP=1,1,0
DBAASP_1295_AMP=1,1,1
DBAASP_1296_AMP=1,1,0
DBAASP_12968_AMP=1,1,1
DBAASP_12974_AMP=1,1,1
DBAASP_13028_AMP=1,1,1
DBAASP_13029_AMP=1,1,1
DBAASP_13044_AMP=1,1,1
DBAASP_1305_AMP=1,1,0
DBAASP_13051_AMP=1,1,1
DBAASP_13052_AMP=1,1,1
DBAASP_13064_AMP=1,1,1
DBAASP_13070_AMP=1,1,1
DBAASP_13072_AMP=1,1,1
DBAASP_131_AMP=1,1,1
DBAASP_1310_AMP=1,1,0
DBAASP_13101_AMP=1,1,1
DBAASP_13184_AMP=1,1,1
DBAASP_13189_AMP=1,1,1
DBAASP_13196_AMP=1,1,1
DBAASP_13200_AMP=1,1,1
DBAASP_13209_AMP=1,1,1
DBAASP_1321_AMP=1,1,1
DBAASP_13216_AMP=1,1,1
DBAASP_13229_AMP=1,1,1
DBAASP_13236_AMP=1,1,1
DBAASP_13239_AMP=1,1,1
DBAASP_13243_AMP=1,1,1
DBAASP_13246_AMP=1,1,1
DBAASP_13251_AMP=1,1,1
DBAASP_13254_AMP=1,1,1
DBAASP_13257_AMP=1,1,1
