"ID","target","prediction","probability"
"CUTTED3191_AMP=0",0,1,0.563610775082625
"DBAASP_15798_AMP=1",1,0,0.493780400753872
"CUTTED6376_AMP=0",0,0,0.495432078670475
"CUTTED229_AMP=0",0,1,0.587063067317405
"DBAASP_13996_AMP=1",1,1,0.538376341285006
"CUTTED3871_AMP=0",0,1,0.566654202477207
"CUTTED2307_AMP=0",0,1,0.581841238846813
"CUTTED2780_AMP=0",0,1,0.574760426096102
"CUTTED3638_AMP=0",0,1,0.550479027607378
"CUTTED7980_AMP=0",0,1,0.59205074627801
"CUTTED5925_AMP=0",0,1,0.544475912988402
"CUTTED7076_AMP=0",0,1,0.563616255733771
"CUTTED2519_AMP=0",0,1,0.544469105108067
"DBAASP_15118_AMP=1",1,1,0.579166435717966
"CUTTED1381_AMP=0",0,1,0.561066075204344
"CUTTED5069_AMP=0",0,1,0.549934685596887
"CUTTED8551_AMP=0",0,1,0.557582469703244
"CUTTED6943_AMP=0",0,1,0.592886922275564
"DBAASP_9534_AMP=1",1,0,0.486600809808318
"CUTTED6876_AMP=0",0,1,0.561829645620302
"CUTTED6612_AMP=0",0,1,0.566452251738559
"CUTTED7202_AMP=0",0,1,0.563011683449007
"DBAASP_11480_AMP=1",1,0,0.466310553475296
"CUTTED5526_AMP=0",0,1,0.565199034241683
"DBAASP_14113_AMP=1",1,1,0.504225228359503
"CUTTED1013_AMP=0",0,1,0.577283592272298
"CUTTED4530_AMP=0",0,0,0.475130355436008
"CUTTED953_AMP=0",0,1,0.548748989856444
"CUTTED9264_AMP=0",0,0,0.469116488667541
"CUTTED836_AMP=0",0,0,0.488539150053127
"CUTTED7811_AMP=0",0,1,0.571777045318323
"CUTTED6724_AMP=0",0,1,0.631855572719382
"CUTTED9668_AMP=0",0,1,0.560538620175346
"CUTTED3972_AMP=0",0,0,0.407007593796561
"CUTTED5372_AMP=0",0,1,0.579005847310548
"CUTTED13_AMP=0",0,1,0.568442659662511
"CUTTED3649_AMP=0",0,1,0.551742429201158
"CUTTED4229_AMP=0",0,0,0.467577541809881
"CUTTED7737_AMP=0",0,1,0.564560715182444
"CUTTED3392_AMP=0",0,1,0.559748522161952
"CUTTED3219_AMP=0",0,1,0.69760470096924
"DBAASP_10402_AMP=1",1,0,0.477511656970621
"DBAASP_14277_AMP=1",1,1,0.577447988337803
"CUTTED4302_AMP=0",0,1,0.559876073479275
"CUTTED8985_AMP=0",0,1,0.583347604128908
"CUTTED5294_AMP=0",0,1,0.583492022108413
"DBAASP_9757_AMP=1",1,1,0.579837807046642
"CUTTED3821_AMP=0",0,1,0.568002220801386
"CUTTED4335_AMP=0",0,1,0.558342229777555
"CUTTED9952_AMP=0",0,1,0.565090227953667
"CUTTED4025_AMP=0",0,1,0.572675714162593
"CUTTED2753_AMP=0",0,0,0.498796893733672
"CUTTED1872_AMP=0",0,1,0.576308615195874
"CUTTED6995_AMP=0",0,0,0.431869743507401
"CUTTED8458_AMP=0",0,1,0.705909831226298
"CUTTED5393_AMP=0",0,1,0.689900313755781
"CUTTED2006_AMP=0",0,1,0.577367443235013
"CUTTED6398_AMP=0",0,1,0.619374493598522
"DBAASP_7399_AMP=1",1,0,0.499443226806704
"CUTTED5318_AMP=0",0,1,0.577017347839815
"CUTTED4318_AMP=0",0,1,0.567899543304941
"CUTTED6605_AMP=0",0,1,0.566477302293206
"DBAASP_2615_AMP=1",1,0,0.470964105026663
"DBAASP_14066_AMP=1",1,0,0.485993752392667
"CUTTED5655_AMP=0",0,1,0.576184672735565
"CUTTED9944_AMP=0",0,1,0.615756332594246
"CUTTED8173_AMP=0",0,1,0.597735108170399
"CUTTED5931_AMP=0",0,1,0.586793468834947
"CUTTED2636_AMP=0",0,1,0.54525267233209
"CUTTED5396_AMP=0",0,1,0.570915859891858
"CUTTED4647_AMP=0",0,1,0.593693715255415
"CUTTED3932_AMP=0",0,1,0.567336089045292
"CUTTED5619_AMP=0",0,1,0.556692386839706
"CUTTED7196_AMP=0",0,1,0.530359543340316
"CUTTED3332_AMP=0",0,1,0.574327006537083
"CUTTED6874_AMP=0",0,0,0.457254711430934
"CUTTED731_AMP=0",0,1,0.566193556981938
"DBAASP_5656_AMP=1",1,1,0.558405888493255
"CUTTED4561_AMP=0",0,0,0.477138513958452
"CUTTED3454_AMP=0",0,1,0.560023851008023
