"ID","target","prediction","probability"
"CUTTED3191_AMP=0",0,0,NA
"DBAASP_15798_AMP=1",1,1,NA
"CUTTED6376_AMP=0",0,0,NA
"CUTTED229_AMP=0",0,0,NA
"DBAASP_13996_AMP=1",1,0,NA
"CUTTED3871_AMP=0",0,0,NA
"CUTTED2307_AMP=0",0,0,NA
"CUTTED2780_AMP=0",0,1,NA
"CUTTED3638_AMP=0",0,0,NA
"CUTTED7980_AMP=0",0,0,NA
"CUTTED5925_AMP=0",0,0,NA
"CUTTED7076_AMP=0",0,0,NA
"CUTTED2519_AMP=0",0,0,NA
"DBAASP_15118_AMP=1",1,0,NA
"CUTTED1381_AMP=0",0,0,NA
"CUTTED5069_AMP=0",0,0,NA
"CUTTED8551_AMP=0",0,1,NA
"CUTTED6943_AMP=0",0,1,NA
"DBAASP_9534_AMP=1",1,1,NA
"CUTTED6876_AMP=0",0,0,NA
"CUTTED6612_AMP=0",0,0,NA
"CUTTED7202_AMP=0",0,0,NA
"DBAASP_11480_AMP=1",1,1,NA
"CUTTED5526_AMP=0",0,1,NA
"DBAASP_14113_AMP=1",1,1,NA
"CUTTED1013_AMP=0",0,1,NA
"CUTTED4530_AMP=0",0,0,NA
"CUTTED953_AMP=0",0,0,NA
"CUTTED9264_AMP=0",0,1,NA
"CUTTED836_AMP=0",0,0,NA
"CUTTED7811_AMP=0",0,0,NA
"CUTTED6724_AMP=0",0,0,NA
"CUTTED9668_AMP=0",0,0,NA
"CUTTED3972_AMP=0",0,1,NA
"CUTTED5372_AMP=0",0,0,NA
"CUTTED13_AMP=0",0,0,NA
"CUTTED3649_AMP=0",0,0,NA
"CUTTED4229_AMP=0",0,0,NA
"CUTTED7737_AMP=0",0,0,NA
"CUTTED3392_AMP=0",0,0,NA
"CUTTED3219_AMP=0",0,0,NA
"DBAASP_10402_AMP=1",1,1,NA
"DBAASP_14277_AMP=1",1,1,NA
"CUTTED4302_AMP=0",0,0,NA
"CUTTED8985_AMP=0",0,0,NA
"CUTTED5294_AMP=0",0,1,NA
"DBAASP_9757_AMP=1",1,1,NA
"CUTTED3821_AMP=0",0,0,NA
"CUTTED4335_AMP=0",0,0,NA
"CUTTED9952_AMP=0",0,0,NA
"CUTTED4025_AMP=0",0,0,NA
"CUTTED2753_AMP=0",0,1,NA
"CUTTED1872_AMP=0",0,0,NA
"CUTTED6995_AMP=0",0,0,NA
"CUTTED8458_AMP=0",0,0,NA
"CUTTED5393_AMP=0",0,0,NA
"CUTTED2006_AMP=0",0,0,NA
"CUTTED6398_AMP=0",0,1,NA
"DBAASP_7399_AMP=1",1,1,NA
"CUTTED5318_AMP=0",0,0,NA
"CUTTED4318_AMP=0",0,0,NA
"CUTTED6605_AMP=0",0,0,NA
"DBAASP_2615_AMP=1",1,1,NA
"DBAASP_14066_AMP=1",1,1,NA
"CUTTED5655_AMP=0",0,0,NA
"CUTTED9944_AMP=0",0,0,NA
"CUTTED8173_AMP=0",0,0,NA
"CUTTED5931_AMP=0",0,0,NA
"CUTTED2636_AMP=0",0,0,NA
"CUTTED5396_AMP=0",0,0,NA
"CUTTED4647_AMP=0",0,0,NA
"CUTTED3932_AMP=0",0,0,NA
"CUTTED5619_AMP=0",0,0,NA
"CUTTED7196_AMP=0",0,1,NA
"CUTTED3332_AMP=0",0,0,NA
"CUTTED6874_AMP=0",0,0,NA
"CUTTED731_AMP=0",0,0,NA
"DBAASP_5656_AMP=1",1,1,NA
"CUTTED4561_AMP=0",0,0,NA
"CUTTED3454_AMP=0",0,0,NA
"CUTTED7882_AMP=0",0,0,NA
"CUTTED5399_AMP=0",0,0,NA
"CUTTED1563_AMP=0",0,0,NA
"CUTTED9194_AMP=0",0,0,NA
"CUTTED772_AMP=0",0,1,NA
"CUTTED7368_AMP=0",0,0,NA
"CUTTED5979_AMP=0",0,0,NA
"CUTTED8276_AMP=0",0,1,NA
"CUTTED4590_AMP=0",0,0,NA
"CUTTED4799_AMP=0",0,1,NA
"CUTTED7213_AMP=0",0,0,NA
"CUTTED5748_AMP=0",0,0,NA
"CUTTED1005_AMP=0",0,0,NA
"CUTTED1888_AMP=0",0,1,NA
"CUTTED11_AMP=0",0,0,NA
"CUTTED194_AMP=0",0,0,NA
"CUTTED4018_AMP=0",0,0,NA
"CUTTED5451_AMP=0",0,0,NA
"CUTTED5577_AMP=0",0,0,NA
"CUTTED9080_AMP=0",0,0,NA
"CUTTED8135_AMP=0",0,0,NA
"DBAASP_13733_AMP=1",1,1,NA
"CUTTED3009_AMP=0",0,0,NA
"CUTTED1817_AMP=0",0,0,NA
"CUTTED6196_AMP=0",0,0,NA
"CUTTED9642_AMP=0",0,1,NA
"DBAASP_4030_AMP=1",1,1,NA
"CUTTED3127_AMP=0",0,0,NA
"DBAASP_2097_AMP=1",1,1,NA
"CUTTED2417_AMP=0",0,0,NA
"CUTTED8395_AMP=0",0,0,NA
"CUTTED9208_AMP=0",0,0,NA
"CUTTED7960_AMP=0",0,0,NA
"CUTTED801_AMP=0",0,0,NA
"DBAASP_11411_AMP=1",1,1,NA
"CUTTED7492_AMP=0",0,0,NA
"CUTTED825_AMP=0",0,0,NA
"CUTTED5440_AMP=0",0,0,NA
"CUTTED8508_AMP=0",0,0,NA
"CUTTED8540_AMP=0",0,0,NA
"DBAASP_7726_AMP=1",1,0,NA
"CUTTED2616_AMP=0",0,0,NA
"CUTTED8368_AMP=0",0,0,NA
"CUTTED4230_AMP=0",0,0,NA
"CUTTED195_AMP=0",0,0,NA
"CUTTED8212_AMP=0",0,0,NA
"CUTTED1659_AMP=0",0,1,NA
"CUTTED3489_AMP=0",0,0,NA
"CUTTED4997_AMP=0",0,0,NA
"CUTTED3791_AMP=0",0,0,NA
"CUTTED6568_AMP=0",0,0,NA
"DBAASP_1778_AMP=1",1,1,NA
"CUTTED8866_AMP=0",0,0,NA
"CUTTED2538_AMP=0",0,0,NA
"DBAASP_12974_AMP=1",1,1,NA
"CUTTED9965_AMP=0",0,0,NA
"CUTTED7777_AMP=0",0,0,NA
"CUTTED5298_AMP=0",0,0,NA
"CUTTED32_AMP=0",0,0,NA
"CUTTED6794_AMP=0",0,0,NA
"CUTTED4703_AMP=0",0,0,NA
"CUTTED7610_AMP=0",0,0,NA
"CUTTED3556_AMP=0",0,0,NA
"CUTTED6716_AMP=0",0,0,NA
"CUTTED3780_AMP=0",0,0,NA
"CUTTED945_AMP=0",0,0,NA
"CUTTED9187_AMP=0",0,0,NA
"DBAASP_8795_AMP=1",1,0,NA
"CUTTED4852_AMP=0",0,0,NA
"CUTTED6401_AMP=0",0,1,NA
"DBAASP_10653_AMP=1",1,1,NA
"DBAASP_4738_AMP=1",1,1,NA
"DBAASP_10075_AMP=1",1,1,NA
"CUTTED228_AMP=0",0,0,NA
"CUTTED2015_AMP=0",0,0,NA
"DBAASP_2032_AMP=1",1,1,NA
"CUTTED2876_AMP=0",0,0,NA
"DBAASP_8494_AMP=1",1,1,NA
"CUTTED6069_AMP=0",0,0,NA
"DBAASP_3763_AMP=1",1,1,NA
"CUTTED2170_AMP=0",0,0,NA
"CUTTED1672_AMP=0",0,0,NA
"CUTTED2995_AMP=0",0,1,NA
"CUTTED5064_AMP=0",0,0,NA
"DBAASP_13070_AMP=1",1,1,NA
"CUTTED322_AMP=0",0,0,NA
"CUTTED40_AMP=0",0,0,NA
"CUTTED924_AMP=0",0,0,NA
"CUTTED5764_AMP=0",0,0,NA
"CUTTED5483_AMP=0",0,0,NA
"CUTTED1794_AMP=0",0,0,NA
"CUTTED7395_AMP=0",0,0,NA
"CUTTED2454_AMP=0",0,0,NA
"CUTTED1403_AMP=0",0,0,NA
"CUTTED3551_AMP=0",0,0,NA
"CUTTED1645_AMP=0",0,0,NA
"CUTTED191_AMP=0",0,0,NA
"DBAASP_10917_AMP=1",1,0,NA
"CUTTED2816_AMP=0",0,0,NA
"CUTTED6759_AMP=0",0,0,NA
"DBAASP_3989_AMP=1",1,1,NA
"CUTTED2784_AMP=0",0,0,NA
"CUTTED6939_AMP=0",0,0,NA
"CUTTED6922_AMP=0",0,0,NA
"DBAASP_2242_AMP=1",1,1,NA
"CUTTED5391_AMP=0",0,1,NA
"CUTTED5385_AMP=0",0,0,NA
"CUTTED2494_AMP=0",0,0,NA
"CUTTED9041_AMP=0",0,0,NA
"DBAASP_13743_AMP=1",1,1,NA
"CUTTED6212_AMP=0",0,0,NA
"CUTTED8938_AMP=0",0,0,NA
"CUTTED7787_AMP=0",0,0,NA
"CUTTED2071_AMP=0",0,0,NA
"CUTTED9350_AMP=0",0,0,NA
"CUTTED5435_AMP=0",0,0,NA
"CUTTED8017_AMP=0",0,0,NA
"CUTTED4267_AMP=0",0,0,NA
"DBAASP_9047_AMP=1",1,1,NA
"CUTTED4961_AMP=0",0,0,NA
